,Price,Locate,Address,Beds,,,,,,
3230,R5 750,Pinelands,"182 Anfield Village, Forest Drive Extension Road, Pinelands",,,,,,,
4403,R5 750,Kenilworth,,,,,,,,
4602,R5 750,Thornton,"17 Denneboom and Cnr Sipres Avenue, Thornton, Cape Town",1,,,,,,
3698,R5 790,Plumstead,5 Culm Road,1,,,,,,
800,R5 800,Sea Point,,0.5,,,,,,
4267,R5 800,Thornton,,1,,,,,,
4344,R5 800,Wynberg Upper,,1,,,,,,
6,R5 850,Thornton,29 Sipres Lane,1,,,,,,
50,R5 850,Cape Town City Centre,66 Keerom St,1,,,,,,
55,R5 850,Cape Town City Centre,66 Keerom St,1,,,,,,
1263,R5 900,Observatory,11 Scott Road Unit C,1,,,,,,
1504,R5 900,Pinelands,"Flat 1, 7 Glen Devon, Pinelands",1,,,,,,
1759,R5 900,Wynberg Upper,,1,,,,,,
2507,R5 900,Rondebosch,,1,,,,,,
2824,R5 900,Lakeside,"14 Craig Court, Craig Road",1,,,,,,
2914,R5 900,Vredehoek,"80 Lymington Close, Cape Town",,,,,,,
3174,R5 900,Pinelands,"28 Glenroy Flats,howard Centre, Logan Way ,southern Suburbs",1,,,,,,
3265,R5 900,Newlands,,1,,,,,,
3606,R5 900,Costa Da Gama,"15 Costa Mews, 8 Minorca Avenue",1,,,,,,
3788,R5 900,Wynberg Upper,,1,,,,,,
4209,R5 900,Kenilworth,49 Wetton Road,1,,,,,,
3926,R5 930,Mowbray,,0.5,,,,,,
747,R5 950,Gardens,45 Kloof Street,1,,,,,,
2426,R5 950,Maitland,,2,,,,,,
2689,R5 950,Kenilworth,,1,,,,,,
2837,R5 950,Cape Town City Centre,15 Dorman Street,,,,,,,
2927,R5 950,Crawford,,2,,,,,,
3250,R5 950,Maitland,,2,,,,,,
3388,R5 950,Costa Da Gama,"Costa Mews, 2 Minorca",2,,,,,,
3540,R5 950,Pinelands,,1,,,,,,
3684,R5 950,Bergvliet,,1,,,,,,
692,R5 995,Kenilworth,288 Main Road,1,,,,,,
3175,R5 995,Gardens,22 Mill Street,1,,,,,,
31,R6 000,Rosebank,28 Main Road,1,,,,,,
145,R6 000,Kenilworth,11 Abingdon Road,1,,,,,,
194,R6 000,Belhar,Education St Belhar 8,2,,,,,,
205,R6 000,Maitland,21 Royal Road,1,,,,,,
210,R6 000,Mowbray,28 Main Road,1,,,,,,
279,R6 000,Kenilworth,11 Abingdon Road,1,,,,,,
293,R6 000,Kenilworth Upper,"3 Myrtle Rd, Mayfayre Lodge",4,,,,,,
601,R6 000,Belhar,,2,,,,,,
862,R6 000,Observatory,9 Dodds Rd,1,,,,,,
1060,R6 000,Claremont,B516a The Claremont 53 Main Road,1,,,,,,
1092,R6 000,Green Point,1 Exhibition Terrace,1,,,,,,
1125,R6 000,Wynberg,,1,,,,,,
1454,R6 000,Observatory,,16,,,,,,
1786,R6 000,Belhar,,2,,,,,,
1797,R6 000,Belhar,,2,,,,,,
1870,R6 000,Wynberg,227 Main Road,0.5,,,,,,
1889,R6 000,Maitland,,1,,,,,,
1922,R6 000,Wynberg Upper,3 Brodie Rd,0.5,,,,,,
2009,R6 000,Oranjezicht,16 Flower Street,0.5,,,,,,
2010,R6 000,Oranjezicht,16 Flower Street,0.5,,,,,,
2026,R6 000,Zonnebloem,64 Sir Lowry Road,1,,,,,,
2073,R6 000,Oranjezicht,16 Flower Street,0.5,,,,,,
2095,R6 000,Wynberg Upper,,1,,,,,,
2151,R6 000,Rondebosch,,1,,,,,,
2237,R6 000,University Estate,81 Ritchie Street,1,,,,,,
2238,R6 000,Cape Town City Centre,27 Heerengracht,1,,,,,,
2260,R6 000,Cape Town City Centre,,0.5,,,,,,
2369,R6 000,Grassy Park,,1,,,,,,
2377,R6 000,Maitland,,1,,,,,,
2398,R6 000,Pinelands,"Anfield Village, 180 Forest Drive Road, Extension",1,,,,,,
2492,R6 000,Cape Town City Centre,Tulbagh Square,0.5,,,,,,
2502,R6 000,Diep River,,1,,,,,,
2516,R6 000,Diep River,,1,,,,,,
2655,R6 000,Rondebosch,,1,,,,,,
2706,R6 000,Muizenberg,,1,,,,,,
2724,R6 000,Pinelands,,1,,,,,,
2729,R6 000,Oranjezicht,,1,,,,,,
2734,R6 000,Maitland,15 Montague Road,1,,,,,,
2808,R6 000,Belhar,,2,,,,,,
2909,R6 000,Rondebosch,,2,,,,,,
2962,R6 000,Observatory,,1,,,,,,
2974,R6 000,Mowbray,28 Main Road,1,,,,,,
2994,R6 000,Wynberg,,1,,,,,,
3118,R6 000,Belhar,1 Power Street Belhar,2,,,,,,
3267,R6 000,Wynberg Upper,6 Alphen Hill,1,,,,,,
3271,R6 000,Wynberg Upper,6 Alphen Hill,1,,,,,,
